0,1,2
20.0,"You are very different people, but if there is an interest in opposites, it won't be boring.",
40.0,It's necessary to work hard on maintaining the relationship and smoothing out the rough edges.,
60.0,"The golden mean in human relationships, you have a lot in common with your partner.",
80.0,"A good match, a solid four out of five. Genes will help you establish a wonderful relationship.",
100.0,You are a perfect match for each other. Wonderful mutual understanding. Cherish this gift of fate.,
,,\
