0,1
1.0,Not compatiable 
20.0,"One of you may really like the energies around you, but they can be very unpleasant for the other. And vice versa. Therefore, living together can be very challenging. Someone always wants to leave an unpleasant place."
50.0,The energies around you may nourish one person but can drain the other. This will have to be compensated for with rest or by changing the couple's living environment to restore energy.
75.0,"The surrounding energies are generally favorable for the couple, good compatibility. For one, the surrounding energies are positive, while for the other they are neutral or slightly negative."
100.0,Your energies are identical. You will feel equally good in any place. Or you will jointly escape from an unpleasant place. This predisposes you to a long life together.
